country,times,win,goals,rate of winning,Average goal
France,61,35,108,0.5737704918032787,1.7704918032786885
USA,34,12,38,0.35294117647058826,1.1176470588235294
Yugoslavia,37,21,60,0.5675675675675675,1.6216216216216217
Romania,21,11,30,0.5238095238095238,1.4285714285714286
Argentina,81,54,133,0.6666666666666666,1.6419753086419753
Chile,34,16,41,0.47058823529411764,1.2058823529411764
Uruguay,52,25,80,0.4807692307692308,1.5384615384615385
Brazil,108,75,225,0.6944444444444444,2.0833333333333335
Paraguay,27,11,30,0.4074074074074074,1.1111111111111112
Austria,29,15,43,0.5172413793103449,1.4827586206896552
Hungary,32,16,87,0.5,2.71875
Switzerland,34,14,45,0.4117647058823529,1.3235294117647058
Sweden,46,22,74,0.4782608695652174,1.608695652173913
Germany,48,35,104,0.7291666666666666,2.1666666666666665
Spain,59,34,92,0.576271186440678,1.5593220338983051
Italy,83,52,128,0.6265060240963856,1.5421686746987953
Czechoslovakia,30,15,44,0.5,1.4666666666666666
Cuba,3,1,5,0.3333333333333333,1.6666666666666667
England,62,35,79,0.5645161290322581,1.2741935483870968
Germany FR,62,37,131,0.5967741935483871,2.1129032258064515
Turkey,10,6,20,0.6,2.0
Soviet Union,31,18,53,0.5806451612903226,1.7096774193548387
Northern Ireland,13,8,13,0.6153846153846154,1.0
Mexico,54,22,58,0.4074074074074074,1.0740740740740742
Wales,5,4,4,0.8,0.8
Portugal,26,16,43,0.6153846153846154,1.6538461538461537
Korea DPR,7,1,6,0.14285714285714285,0.8571428571428571
Peru,15,6,19,0.4,1.2666666666666666
Belgium,43,21,54,0.4883720930232558,1.255813953488372
Bulgaria,26,8,22,0.3076923076923077,0.8461538461538461
German DR,6,4,5,0.6666666666666666,0.8333333333333334
Zaire,3,0,0,0.0,0.0
Poland,31,18,44,0.5806451612903226,1.4193548387096775
Australia,13,4,11,0.3076923076923077,0.8461538461538461
Scotland,23,6,25,0.2608695652173913,1.0869565217391304
Netherlands,54,33,91,0.6111111111111112,1.6851851851851851
Haiti,3,0,2,0.0,0.6666666666666666
Tunisia,12,3,8,0.25,0.6666666666666666
Algeria,14,4,14,0.2857142857142857,1.0
Honduras,9,2,3,0.2222222222222222,0.3333333333333333
Canada,3,0,0,0.0,0.0
Morocco,13,4,12,0.3076923076923077,0.9230769230769231
Korea Republic,31,11,31,0.3548387096774194,1.0
Iraq,3,0,1,0.0,0.3333333333333333
Denmark,16,9,27,0.5625,1.6875
"rn"">United Arab Emirates",3,0,2,0.0,0.6666666666666666
Costa Rica,17,7,18,0.4117647058823529,1.0588235294117647
Cameroon,23,9,18,0.391304347826087,0.782608695652174
"rn"">Republic of Ireland",13,5,10,0.38461538461538464,0.7692307692307693
Colombia,20,10,29,0.5,1.45
Norway,8,5,7,0.625,0.875
Nigeria,19,6,20,0.3157894736842105,1.0526315789473684
Saudi Arabia,13,4,9,0.3076923076923077,0.6923076923076923
Bolivia,6,1,1,0.16666666666666666,0.16666666666666666
Russia,9,3,13,0.3333333333333333,1.4444444444444444
Greece,11,5,6,0.45454545454545453,0.5454545454545454
Jamaica,3,1,3,0.3333333333333333,1.0
South Africa,9,3,11,0.3333333333333333,1.2222222222222223
Japan,17,5,14,0.29411764705882354,0.8235294117647058
Croatia,16,8,21,0.5,1.3125
China PR,3,0,0,0.0,0.0
Senegal,5,3,7,0.6,1.4
Slovenia,6,1,5,0.16666666666666666,0.8333333333333334
Ecuador,10,4,10,0.4,1.0
"rn"">Trinidad and Tobago",3,0,0,0.0,0.0
"rn"">Serbia and Montenegro",3,0,2,0.0,0.6666666666666666
Angola,3,2,1,0.6666666666666666,0.3333333333333333
Czech Republic,3,1,3,0.3333333333333333,1.0
Togo,3,0,1,0.0,0.3333333333333333
Iran,6,1,5,0.16666666666666666,0.8333333333333334
Ce d'Ivoire,9,3,13,0.3333333333333333,1.4444444444444444
Ghana,12,6,13,0.5,1.0833333333333333
Ukraine,5,3,5,0.6,1.0
Serbia,3,1,2,0.3333333333333333,0.6666666666666666
New Zealand,6,2,4,0.3333333333333333,0.6666666666666666
Slovakia,4,2,5,0.5,1.25
IR Iran,6,1,2,0.16666666666666666,0.3333333333333333
"rn"">Bosnia and Herzegovina",3,1,4,0.3333333333333333,1.3333333333333333
Egypt,4,2,3,0.5,0.75
Dutch East Indies,1,0,0,0.0,0.0
Israel,3,2,1,0.6666666666666666,0.3333333333333333
El Salvador,6,0,1,0.0,0.16666666666666666
Kuwait,3,1,2,0.3333333333333333,0.6666666666666666
